tipo,Nombre_de_la_Serie,valor,categoria
Baja_California_Sur,2016/08,119,estado
Baja_California_Sur,2016/09,92,estado
Baja_California_Sur,2016/10,94,estado
Baja_California_Sur,2016/11,76,estado
Baja_California_Sur,2016/12,11,estado
Baja_California_Sur,2017/01,0,estado
Baja_California_Sur,2017/02,34,estado
Baja_California_Sur,2017/03,9,estado
Baja_California_Sur,2017/04,18,estado
Baja_California_Sur,2017/05,35,estado
Baja_California_Sur,2017/06,51,estado
Baja_California_Sur,2017/07,31,estado
Baja_California_Sur,2017/08,42,estado
Baja_California_Sur,2017/09,24,estado
Baja_California_Sur,2017/10,17,estado
Baja_California_Sur,2017/11,33,estado
Baja_California_Sur,2017/12,16,estado
Baja_California_Sur,2018/01,0,estado
Baja_California_Sur,2018/02,6,estado
Baja_California_Sur,2018/03,9,estado
Baja_California_Sur,2018/04,13,estado
Baja_California_Sur,2018/05,23,estado
Baja_California_Sur,2018/06,24,estado
Baja_California_Sur,2018/07,23,estado
Baja_California_Sur,2018/08,27,estado
Baja_California_Sur,2018/09,5,estado
Baja_California_Sur,2018/10,24,estado
Baja_California_Sur,2018/11,4,estado
Baja_California_Sur,2018/12,0,estado
Baja_California_Sur,2019/01,0,estado
Baja_California_Sur,2019/02,0,estado
Baja_California_Sur,2019/03,0,estado
Baja_California_Sur,2019/04,0,estado
Baja_California_Sur,2019/05,2,estado
Baja_California_Sur,2019/06,31,estado
Baja_California_Sur,2019/07,6,estado
Baja_California_Sur,2019/08,0,estado
Baja_California_Sur,2019/09,0,estado
Baja_California_Sur,2019/10,0,estado
Baja_California_Sur,2019/11,0,estado
Baja_California_Sur,2019/12,0,estado
Baja_California_Sur,2020/01,0,estado
Baja_California_Sur,2020/02,0,estado
Baja_California_Sur,2020/03,0,estado
Baja_California_Sur,2020/04,0,estado
Baja_California_Sur,2020/05,0,estado
Baja_California_Sur,2020/06,0,estado
Baja_California_Sur,2020/07,0,estado
Baja_California_Sur,2020/08,0,estado
Baja_California_Sur,2020/09,0,estado
CDMX,2012/01,0,estado
