tipo,Nombre_de_la_Serie,valor,categoria
Baja_California_Sur,2020/09,606,estado
CDMX,2012/01,1966,estado
CDMX,2012/02,3454,estado
CDMX,2012/03,3710,estado
CDMX,2012/04,3517,estado
CDMX,2012/05,5172,estado
CDMX,2012/06,5547,estado
CDMX,2012/07,5922,estado
CDMX,2012/08,2946,estado
CDMX,2012/09,2372,estado
CDMX,2012/10,3023,estado
CDMX,2012/11,2955,estado
CDMX,2012/12,2787,estado
CDMX,2013/01,1569,estado
CDMX,2013/02,2104,estado
CDMX,2013/03,2181,estado
CDMX,2013/04,2845,estado
CDMX,2013/05,2627,estado
CDMX,2013/06,2738,estado
CDMX,2013/07,3308,estado
CDMX,2013/08,3246,estado
CDMX,2013/09,2982,estado
CDMX,2013/10,3236,estado
CDMX,2013/11,2560,estado
CDMX,2013/12,2858,estado
CDMX,2014/01,1231,estado
CDMX,2014/02,1691,estado
CDMX,2014/03,2042,estado
CDMX,2014/04,1698,estado
CDMX,2014/05,1992,estado
CDMX,2014/06,2079,estado
CDMX,2014/07,1733,estado
CDMX,2014/08,1382,estado
CDMX,2014/09,1649,estado
CDMX,2014/10,2011,estado
CDMX,2014/11,2572,estado
CDMX,2014/12,2733,estado
CDMX,2015/01,1451,estado
CDMX,2015/02,1812,estado
CDMX,2015/03,2258,estado
CDMX,2015/04,2029,estado
CDMX,2015/05,2092,estado
CDMX,2015/06,2669,estado
CDMX,2015/07,2593,estado
CDMX,2015/08,2499,estado
CDMX,2015/09,2473,estado
CDMX,2015/10,2626,estado
CDMX,2015/11,2666,estado
CDMX,2015/12,3132,estado
CDMX,2016/01,1271,estado
CDMX,2016/02,1769,estado
CDMX,2016/03,1338,estado
CDMX,2016/04,1228,estado
CDMX,2016/05,1287,estado
CDMX,2016/06,1578,estado
CDMX,2016/07,1354,estado
CDMX,2016/08,1670,estado
CDMX,2016/09,1659,estado
CDMX,2016/10,1987,estado
CDMX,2016/11,1859,estado
CDMX,2016/12,2352,estado
CDMX,2017/01,1340,estado
CDMX,2017/02,1476,estado
CDMX,2017/03,2106,estado
CDMX,2017/04,1856,estado
CDMX,2017/05,2365,estado
CDMX,2017/06,2744,estado
CDMX,2017/07,2633,estado
CDMX,2017/08,2954,estado
CDMX,2017/09,2447,estado
CDMX,2017/10,2540,estado
CDMX,2017/11,2541,estado
CDMX,2017/12,3133,estado
CDMX,2018/01,991,estado
CDMX,2018/02,1840,estado
CDMX,2018/03,1783,estado
CDMX,2018/04,1873,estado
CDMX,2018/05,2687,estado
CDMX,2018/06,2726,estado
CDMX,2018/07,2722,estado
CDMX,2018/08,3238,estado
CDMX,2018/09,2626,estado
CDMX,2018/10,3283,estado
CDMX,2018/11,2873,estado
CDMX,2018/12,2596,estado
CDMX,2019/01,1627,estado
CDMX,2019/02,2509,estado
CDMX,2019/03,3424,estado
CDMX,2019/04,2420,estado
CDMX,2019/05,2703,estado
CDMX,2019/06,3009,estado
CDMX,2019/07,3037,estado
CDMX,2019/08,2939,estado
CDMX,2019/09,2626,estado
CDMX,2019/10,1859,estado
CDMX,2019/11,1509,estado
CDMX,2019/12,1713,estado
CDMX,2020/01,734,estado
CDMX,2020/02,1182,estado
CDMX,2020/03,1550,estado
CDMX,2020/04,1043,estado
CDMX,2020/05,1139,estado
CDMX,2020/06,1667,estado
CDMX,2020/07,1816,estado
CDMX,2020/08,1723,estado
CDMX,2020/09,1935,estado
Campeche,2012/01,163,estado
Campeche,2012/02,299,estado
Campeche,2012/03,505,estado
Campeche,2012/04,281,estado
Campeche,2012/05,319,estado
Campeche,2012/06,303,estado
Campeche,2012/07,334,estado
Campeche,2012/08,308,estado
Campeche,2012/09,288,estado
Campeche,2012/10,361,estado
Campeche,2012/11,313,estado
Campeche,2012/12,239,estado
Campeche,2013/01,211,estado
Campeche,2013/02,276,estado
Campeche,2013/03,286,estado
Campeche,2013/04,368,estado
Campeche,2013/05,353,estado
Campeche,2013/06,400,estado
Campeche,2013/07,327,estado
Campeche,2013/08,364,estado
Campeche,2013/09,346,estado
Campeche,2013/10,365,estado
Campeche,2013/11,276,estado
Campeche,2013/12,369,estado
Campeche,2014/01,182,estado
Campeche,2014/02,279,estado
Campeche,2014/03,325,estado
Campeche,2014/04,300,estado
Campeche,2014/05,297,estado
Campeche,2014/06,321,estado
Campeche,2014/07,231,estado
Campeche,2014/08,252,estado
Campeche,2014/09,304,estado
Campeche,2014/10,364,estado
Campeche,2014/11,409,estado
Campeche,2014/12,356,estado
Campeche,2015/01,262,estado
Campeche,2015/02,260,estado
Campeche,2015/03,290,estado
Campeche,2015/04,331,estado
Campeche,2015/05,357,estado
Campeche,2015/06,376,estado
Campeche,2015/07,320,estado
Campeche,2015/08,372,estado
Campeche,2015/09,366,estado
Campeche,2015/10,365,estado
Campeche,2015/11,358,estado
Campeche,2015/12,301,estado
Campeche,2016/01,219,estado
Campeche,2016/02,255,estado
Campeche,2016/03,120,estado
Campeche,2016/04,118,estado
Campeche,2016/05,130,estado
Campeche,2016/06,164,estado
Campeche,2016/07,108,estado
Campeche,2016/08,131,estado
Campeche,2016/09,160,estado
Campeche,2016/10,177,estado
Campeche,2016/11,197,estado
Campeche,2016/12,211,estado
Campeche,2017/01,102,estado
Campeche,2017/02,181,estado
