tipo,Nombre_de_la_Serie,valor,categoria
Apoyo_Infonavit,2017/07,777314247,Tipo_Credito
Apoyo_Infonavit,2017/08,569024219,Tipo_Credito
Apoyo_Infonavit,2017/09,295290163,Tipo_Credito
Apoyo_Infonavit,2017/10,610719453,Tipo_Credito
Apoyo_Infonavit,2017/11,529773853,Tipo_Credito
Apoyo_Infonavit,2017/12,745173896,Tipo_Credito
Apoyo_Infonavit,2018/01,535966550,Tipo_Credito
Apoyo_Infonavit,2018/02,669761178,Tipo_Credito
Apoyo_Infonavit,2018/03,238669078,Tipo_Credito
Apoyo_Infonavit,2018/04,623988219,Tipo_Credito
Apoyo_Infonavit,2018/05,553783326,Tipo_Credito
Apoyo_Infonavit,2018/06,692186632,Tipo_Credito
Apoyo_Infonavit,2018/07,771250288,Tipo_Credito
Apoyo_Infonavit,2018/08,689246418,Tipo_Credito
Apoyo_Infonavit,2018/09,652862221,Tipo_Credito
Apoyo_Infonavit,2018/10,878540895,Tipo_Credito
Apoyo_Infonavit,2018/11,390245689,Tipo_Credito
Apoyo_Infonavit,2018/12,393270443,Tipo_Credito
Apoyo_Infonavit,2019/01,1247471272,Tipo_Credito
Apoyo_Infonavit,2019/02,549265157,Tipo_Credito
Apoyo_Infonavit,2019/03,415177299,Tipo_Credito
Apoyo_Infonavit,2019/04,520667732,Tipo_Credito
Apoyo_Infonavit,2019/05,821064228,Tipo_Credito
Apoyo_Infonavit,2019/06,912058232,Tipo_Credito
Apoyo_Infonavit,2019/07,536676205,Tipo_Credito
Apoyo_Infonavit,2019/08,451350634,Tipo_Credito
Apoyo_Infonavit,2019/09,578512525,Tipo_Credito
Apoyo_Infonavit,2019/10,964989542,Tipo_Credito
Apoyo_Infonavit,2019/11,646016098,Tipo_Credito
Apoyo_Infonavit,2019/12,761732991,Tipo_Credito
Apoyo_Infonavit,2020/01,386521786,Tipo_Credito
Apoyo_Infonavit,2020/02,1234191181,Tipo_Credito
Apoyo_Infonavit,2020/03,625851685,Tipo_Credito
Apoyo_Infonavit,2020/04,362017919,Tipo_Credito
Apoyo_Infonavit,2020/05,586521323,Tipo_Credito
Apoyo_Infonavit,2020/06,660590442,Tipo_Credito
Apoyo_Infonavit,2020/07,652219095,Tipo_Credito
Apoyo_Infonavit,2020/08,623452723,Tipo_Credito
Apoyo_Infonavit,2020/09,367965590,Tipo_Credito
Baja_California,2012/01,368861092,estado
Baja_California,2012/02,535880512,estado
Baja_California,2012/03,565078269,estado
Baja_California,2012/04,471255296,estado
Baja_California,2012/05,573039141,estado
Baja_California,2012/06,656839842,estado
Baja_California,2012/07,628989201,estado
Baja_California,2012/08,526018246,estado
Baja_California,2012/09,556719793,estado
Baja_California,2012/10,504688850,estado
Baja_California,2012/11,460678999,estado
Baja_California,2012/12,512232452,estado
Baja_California,2013/01,431511307,estado
Baja_California,2013/02,370710458,estado
Baja_California,2013/03,437427331,estado
Baja_California,2013/04,487930207,estado
Baja_California,2013/05,479263389,estado
Baja_California,2013/06,449616877,estado
Baja_California,2013/07,535595811,estado
Baja_California,2013/08,487019156,estado
Baja_California,2013/09,432644421,estado
Baja_California,2013/10,477710496,estado
Baja_California,2013/11,478943731,estado
Baja_California,2013/12,523211890,estado
Baja_California,2014/01,352347821,estado
Baja_California,2014/02,350377554,estado
Baja_California,2014/03,410339530,estado
Baja_California,2014/04,417162497,estado
Baja_California,2014/05,474865714,estado
Baja_California,2014/06,539971665,estado
Baja_California,2014/07,458000009,estado
Baja_California,2014/08,430337572,estado
Baja_California,2014/09,500685891,estado
Baja_California,2014/10,555367783,estado
Baja_California,2014/11,535718475,estado
Baja_California,2014/12,625740515,estado
Baja_California,2015/01,367967176,estado
Baja_California,2015/02,519210587,estado
Baja_California,2015/03,578095376,estado
Baja_California,2015/04,546749233,estado
Baja_California,2015/05,493704362,estado
Baja_California,2015/06,563646875,estado
Baja_California,2015/07,494216314,estado
Baja_California,2015/08,500219681,estado
Baja_California,2015/09,589178104,estado
Baja_California,2015/10,710783384,estado
Baja_California,2015/11,551992846,estado
Baja_California,2015/12,638156602,estado
Baja_California,2016/01,354782735,estado
Baja_California,2016/02,553592474,estado
Baja_California,2016/03,469528653,estado
Baja_California,2016/04,552118345,estado
Baja_California,2016/05,527007032,estado
Baja_California,2016/06,535337326,estado
Baja_California,2016/07,506708051,estado
Baja_California,2016/08,609162922,estado
Baja_California,2016/09,602362209,estado
Baja_California,2016/10,608842289,estado
Baja_California,2016/11,539392204,estado
Baja_California,2016/12,649685182,estado
Baja_California,2017/01,343542568,estado
Baja_California,2017/02,440454104,estado
Baja_California,2017/03,540716794,estado
Baja_California,2017/04,443232040,estado
Baja_California,2017/05,627068624,estado
Baja_California,2017/06,745046830,estado
Baja_California,2017/07,614392013,estado
Baja_California,2017/08,762169696,estado
Baja_California,2017/09,689388536,estado
Baja_California,2017/10,723681664,estado
Baja_California,2017/11,728691378,estado
Baja_California,2017/12,817248109,estado
Baja_California,2018/01,457665699,estado
Baja_California,2018/02,579938219,estado
Baja_California,2018/03,598531685,estado
Baja_California,2018/04,704059806,estado
Baja_California,2018/05,733161770,estado
Baja_California,2018/06,696665209,estado
Baja_California,2018/07,785003725,estado
Baja_California,2018/08,727727767,estado
Baja_California,2018/09,722916525,estado
Baja_California,2018/10,695146041,estado
Baja_California,2018/11,671172182,estado
Baja_California,2018/12,592757926,estado
Baja_California,2019/01,515343632,estado
Baja_California,2019/02,570472491,estado
Baja_California,2019/03,633713239,estado
Baja_California,2019/04,653398355,estado
Baja_California,2019/05,746010678,estado
Baja_California,2019/06,662253543,estado
Baja_California,2019/07,754628267,estado
Baja_California,2019/08,743944269,estado
Baja_California,2019/09,712775859,estado
Baja_California,2019/10,866090033,estado
Baja_California,2019/11,591097434,estado
Baja_California,2019/12,775646453,estado
Baja_California,2020/01,446504590,estado
Baja_California,2020/02,623365460,estado
Baja_California,2020/03,681944845,estado
Baja_California,2020/04,482427210,estado
Baja_California,2020/05,487766157,estado
Baja_California,2020/06,533934683,estado
Baja_California,2020/07,591296907,estado
Baja_California,2020/08,698713604,estado
Baja_California,2020/09,594104698,estado
Baja_California_Sur,2012/01,69321886,estado
Baja_California_Sur,2012/02,63662663,estado
Baja_California_Sur,2012/03,90212790,estado
Baja_California_Sur,2012/04,72102426,estado
Baja_California_Sur,2012/05,120319167,estado
Baja_California_Sur,2012/06,101523154,estado
Baja_California_Sur,2012/07,88579005,estado
Baja_California_Sur,2012/08,101981070,estado
Baja_California_Sur,2012/09,72669498,estado
Baja_California_Sur,2012/10,84740012,estado
Baja_California_Sur,2012/11,93964306,estado
Baja_California_Sur,2012/12,91461271,estado
Baja_California_Sur,2013/01,60458287,estado
Baja_California_Sur,2013/02,67199033,estado
Baja_California_Sur,2013/03,80795098,estado
Baja_California_Sur,2013/04,95659436,estado
Baja_California_Sur,2013/05,99083760,estado
Baja_California_Sur,2013/06,89976777,estado
Baja_California_Sur,2013/07,99233758,estado
Baja_California_Sur,2013/08,79679054,estado
Baja_California_Sur,2013/09,74519140,estado
Baja_California_Sur,2013/10,101737075,estado
Baja_California_Sur,2013/11,87516722,estado
Baja_California_Sur,2013/12,101992397,estado
Baja_California_Sur,2014/01,74593581,estado
Baja_California_Sur,2014/02,80176348,estado
Baja_California_Sur,2014/03,70844607,estado
Baja_California_Sur,2014/04,79955764,estado
Baja_California_Sur,2014/05,85526323,estado
